Temp,DO,NH4,NO2,ABW,DOC
29,5.18,3.5,1.5,16.775284974093264,88.0
29.5,5.29,4,1.5,17.218963730569946,89.0
28.5,6.91,3,1.5,17.66264248704663,90.0
30.9,7.97,3,1.5,18.10632124352331,91.0
29,6.7,2,1.5,18.55,92.0
29.5,6.32,2,2.5,18.87,93.0
29.5,5.48,3,2.5,19.19,94.0
29.9,5.85,3,2.5,19.51,95.0
29.6,7.03,3,2.5,19.830000000000002,96.0
29.9,7.1,3,2.5,20.17,97.0
29.8,6.81,2,2.5,20.71,98.0
30.3,5.02,2,3,21.25,99.0
29.8,5.59,3,4,21.79,100.0
29.8,6.13,3,4.5,22.33,101.0
29.8,5.72,4,5,22.86,102.0
28.9,5.94,3,6,22.916544850498337,103.0
29.4,6.08,3,7,22.973089700996674,104.0
29.8,6.05,3,6,23.02963455149501,105.0
29.8,6.38,3,8,23.08617940199335,106.0
29.6,5.97,2.5,6.5,23.142724252491686,107.0
28.7,7.35,,,0.012166666666666666,1.0
28.9,6.95,0.3,0.02,0.02333333333333333,2.0
27.2,8.52,,,0.034499999999999996,3.0
28.3,7.59,0.3,0.02,0.04566666666666666,4.0
28.5,7.56,,,0.056833333333333326,5.0
28.6,7.83,0.2,0.03,0.06799999999999999,6.0
28.1,6.76,,,0.07916666666666666,7.0
27.6,7.12,0.3,0.07,0.09033333333333332,8.0
28,6.12,,,0.10149999999999999,9.0
27.9,6.41,0.7,0.07,0.17149999999999999,10.0
28.3,7.13,,,0.2415,11.0
28.6,6.82,0.8,0.05,0.3115,12.0
28.4,7.74,,,0.3815,13.0
28.2,6.93,1.5,0.075,0.4515,14.0
28.3,6.42,1.5,0.08,0.5215000000000001,15.0
28,7.02,1.5,0.07,0.5915000000000001,16.0
27.9,6.58,,,0.6615000000000002,17.0
27.8,5.36,1.5,0.08,0.7315000000000003,18.0
28.4,4.72,,,0.8310000000000001,19.0
28.2,5.14,1.8,0.1,0.9188000000000001,20.0
28.2,7.52,1.8,0.15,1.0066000000000002,21.0
28.3,5.29,1.5,0.15,1.0944000000000003,22.0
28.4,6.27,1.7,0.2,1.1822000000000004,23.0
28,7.25,1.5,0.17,1.27,24.0
27.9,6.47,1.5,0.21,1.334,25.0
27.9,5.32,1.7,0.22,1.3980000000000001,26.0
27.6,5.67,2.5,0.25,1.4620000000000002,27.0
27.6,6.78,2.3,0.25,1.5260000000000002,28.0
27.4,7.01,1.9,0.27,1.59,29.0
27.3,6.58,2.3,0.28,1.794,30.0
27.2,6.47,2.3,0.3,1.998,31.0
27.4,6.71,2.3,0.35,2.202,32.0
27.4,6.91,1.8,0.3,2.4059999999999997,33.0
27.7,6.32,2.3,0.35,2.61,34.0
27.4,6.47,2.3,0.45,2.902,35.0
27.3,6.09,2.8,0.5,3.1940000000000004,36.0
27.8,5.75,3,0.5,3.4860000000000007,37.0
27.6,6.04,2.5,0.75,3.778000000000001,38.0
27.1,6.22,3,0.85,4.07,39.0
27.2,5.73,3,0.85,4.2700000000000005,40.0
27.3,4.99,3,0.9,4.470000000000001,41.0
26.5,6.01,4,0.9,4.670000000000001,42.0
27,5.29,5,1,4.870000000000001,43.0
26.9,5.16,4,1,5.07,44.0
27,5.74,5,2.5,5.2700000000000005,45.0
27.1,5.78,5,2.5,5.428000000000001,46.0
27.2,5.64,6,3,5.586000000000001,47.0
26.9,6.34,7,3.3,5.7440000000000015,48.0
27.5,5.68,5.5,3.5,5.86,49.0
27.4,5.83,6,3.5,6.106666666666667,50.0
27.5,6.32,6,3.5,6.3533333333333335,51.0
27.5,6.22,6,4.1,6.6,52.0
27.7,4.27,6,3.6,6.846666666666666,53.0
27.9,4.97,7,3.5,7.093333333333332,54.0
27.8,5.34,8,3.6,7.34,55.0
27.9,5.67,7,3.6,7.14,56.0
30.4,7.01,0.1,0.05,0.0119,1.0
29.3,6.81,,,0.0228,2.0
29.4,6.23,0.3,0.03,0.0337,3.0
27.3,7.23,,,0.0446,4.0
28.5,6.79,0.3,0.03,0.0555,5.0
28.6,6.43,,,0.0664,6.0
28.7,5.81,0.3,0.02,0.07730000000000001,7.0
28.4,5.43,,,0.08820000000000001,8.0
28.1,6.74,0.7,0.05,0.09910000000000002,9.0
28.1,7.84,,,0.11000000000000001,10.0
27.9,9.48,0.5,0.05,0.18000000000000002,11.0
28.6,10.68,,,0.25,12.0
28.7,8.75,0.4,0.06,0.32,13.0
28.4,8.24,,,0.39,14.0
28.4,7.67,0.4,0.05,0.46,15.0
28.5,6.89,0.3,0.06,0.53,16.0
28.1,7.27,0.3,0.05,0.6000000000000001,17.0
28.1,7.64,,,0.6700000000000002,18.0
28,7.24,0.5,0.05,0.7400000000000002,19.0
28.8,6.02,,,0.8365,20.0
28.5,6.24,0.6,0.05,0.9032,21.0
28.3,6.98,1,0.06,0.9699,22.0
28.2,4.49,1.7,0.05,1.0366,23.0
28.3,4.69,2.7,0.06,1.1033,24.0
28,5.09,2.7,0.05,1.17,25.0
27.8,5.21,2.7,0.05,1.248,26.0
27.9,6.76,2.7,0.05,1.326,27.0
27.6,7.19,2.2,0.07,1.4040000000000001,28.0
27.6,6.24,1.5,0.07,1.4820000000000002,29.0
27.4,5.42,1.7,0.05,1.56,30.0
27.3,4.46,2.5,0.1,1.85,31.0
27.3,5.11,2.7,0.07,2.14,32.0
27.4,6.43,2.7,0.07,2.43,33.0
27.4,5.74,2.3,0.1,2.72,34.0
27.7,5.41,2.5,0.13,3.01,35.0
27.5,6.75,2.1,0.15,3.222,36.0
27.4,6.53,1.9,0.13,3.434,37.0
27.8,5.87,2.4,0.15,3.6460000000000004,38.0
27.6,5.58,2.5,0.15,3.8580000000000005,39.0
27.1,5.85,2.5,0.2,4.07,40.0
27.1,4.72,3,0.22,4.242,41.0
27.4,3.74,4,0.25,4.414,42.0
26.6,4.63,5,0.3,4.585999999999999,43.0
27.1,3.99,5.5,0.35,4.757999999999999,44.0
27,4.63,7,0.4,4.93,45.0
27.3,5.14,6,0.4,5.124,46.0
27.3,5.29,7,0.45,5.318,47.0
27.4,4.78,8,0.45,5.512,48.0
27.1,4.43,9,0.5,5.7059999999999995,49.0
27.7,5.01,10,0.45,5.9,50.0
27.5,5.65,10,0.5,6.065,51.0
27.6,4.65,11.5,0.6,6.23,52.0
27.6,5.07,14,0.75,6.3950000000000005,53.0
27.9,5.22,14,0.85,6.56,54.0
28,5.04,16,0.8,6.832,55.0
27.9,5.49,15,1,7.104,56.0
27.9,4.95,14,1.6,7.376,57.0
27.4,5.54,11,3,7.648000000000001,58.0
27.6,5.03,10,3,7.92,59.0
27.5,5.19,9,3.5,8.14,60.0
26.6,5.73,11,3.5,8.360000000000001,61.0
26.2,4.81,12,3.7,8.580000000000002,62.0
26.2,6.04,14,3.9,8.800000000000002,63.0
26.1,5.11,10,3.7,9.02,64.0
26.4,5.68,10,3.8,9.216666666666667,65.0
25.7,5.71,9,3.9,9.413333333333334,66.0
26.1,5.88,10,3.8,9.610000000000001,67.0
26.5,5.97,9,3.8,9.806666666666668,68.0
26.7,5.57,9,3.7,10.003333333333336,69.0
26.6,5.85,7,3.9,10.2,70.0
27.2,5.89,9,4.1,10.431999999999999,71.0
27.2,5.66,8,4.1,10.663999999999998,72.0
27.3,5.54,7,4.3,10.895999999999997,73.0
27.4,5.71,9,4.5,11.127999999999997,74.0
27.4,6.02,9,4.4,11.36,75.0
27.5,6.13,8,4.5,11.652,76.0
27.9,6.09,9,4.7,11.943999999999999,77.0
28.1,4.23,10,4.8,12.235999999999999,78.0
27.5,5.67,9,4.8,12.527999999999999,79.0
28,5.18,10,5,12.82,80.0
29,5.87,0.2,0.03,0.001,0.0
28.9,5.98,,,0.02305263157894737,1.0
27.9,6.25,0.4,0.04,0.04510526315789474,2.0
27.6,,,,0.06715789473684211,3.0
,,0.2,0.03,0.08921052631578948,4.0
28.2,8.49,,,0.11126315789473684,5.0
27.8,7.69,0.2,0.04,0.13331578947368422,6.0
28.1,8.81,,,0.1553684210526316,7.0
28.7,8.98,0.2,0.15,0.17742105263157898,8.0
29,8.02,,,0.19947368421052636,9.0
29.2,7.81,0.3,0.22,0.22152631578947374,10.0
29.8,8.01,,,0.24357894736842112,11.0
30.2,9.76,0.3,0.18,0.2656315789473685,12.0
29.9,9.2,,,0.2876842105263159,13.0
29.3,8.88,0.2,0.1,0.30973684210526325,14.0
29.5,8.46,,,0.33178947368421063,15.0
29.3,8.07,0.3,0.13,0.353842105263158,16.0
29,9.59,,,0.3758947368421054,17.0
29.2,8.55,0.4,0.13,0.39794736842105277,18.0
29.4,7.99,,,0.42,19.0
29.6,6.73,0.7,0.06,0.52,20.0
29.8,5.54,1.3,0.1,0.62,21.0
29.5,5.63,2.6,0.12,0.72,22.0
29.6,5.69,2.8,0.1,0.82,23.0
