Temp,DO,NH4,NO2,ABW,DOC,ABW.1,ADG
29.0,7.45,11.0,9.0,7.47,61,7.47,0.14
29.1,5.11,8.0,8.0,7.61,62,7.61,0.14
29.3,4.92,9.0,7.5,7.73,63,7.73,0.12
30.2,5.75,9.0,5.5,7.9225,64,7.9225,0.1925
30.4,6.03,8.0,5.0,8.115,65,8.115,0.1925
29.7,7.29,9.0,4.5,8.3075,66,8.3075,0.1925
29.6,6.2,9.0,4.5,8.5,67,8.5,0.1925
29.9,6.16,9.0,3.0,8.86,68,8.86,0.36
29.9,6.26,8.0,3.0,9.22,69,9.22,0.36
29.9,6.72,9.0,2.5,9.58,70,9.58,0.36
29.9,6.08,10.0,3.0,9.94,71,9.94,0.36
29.8,5.47,7.0,3.0,10.69,72,10.69,0.75
29.8,6.01,5.0,2.5,11.06,73,11.06,0.37
29.6,5.17,4.0,2.5,11.43,74,11.43,0.37
29.7,5.96,4.0,3.0,11.8,75,11.8,0.37
29.7,6.14,4.0,3.0,12.17,76,12.17,0.37
29.8,5.14,4.0,2.0,12.18,77,12.18,0.01
29.1,6.12,4.0,2.5,12.506,78,12.506,0.326
29.6,6.14,5.0,2.5,12.832,79,12.832,0.326
29.9,6.64,4.0,2.5,13.158,80,13.158,0.326
30.4,6.11,4.0,2.0,13.484,81,13.484,0.326
29.7,6.32,4.0,2.5,13.81,82,13.81,0.326
29.2,7.14,4.0,2.0,14.31,83,14.31,0.5
29.7,6.29,4.0,2.5,14.81,84,14.81,0.5
29.0,6.2,4.0,4.0,15.31,85,15.31,0.5
29.6,5.5,5.0,4.0,15.81,86,15.81,0.5
29.1,4.47,4.0,4.0,16.33160622,87,16.33160622,0.521606218
29.0,5.18,3.5,1.5,16.77528497,88,16.77528497,0.443678756
29.5,5.29,4.0,1.5,17.21896373,89,17.21896373,0.443678756
28.5,6.91,3.0,1.5,17.66264249,90,17.66264249,0.443678756
30.9,7.97,3.0,1.5,18.10632124,91,18.10632124,0.443678756
29.0,6.7,2.0,1.5,18.55,92,18.55,0.443678756
29.5,6.32,2.0,2.5,18.87,93,18.87,0.32
29.5,5.48,3.0,2.5,19.19,94,19.19,0.32
