Temp;DO;NH4;NO2;ABW;DOC;ABW
29.9;6.08;10;3;9.94;71;9.94
29.8;5.47;7;3;10.69;72;10.69
29.8;6.01;5;2.5;11.06;73;11.06
29.6;5.17;4;2.5;11.43;74;11.43
29.7;5.96;4;3;11.8;75;11.8
29.7;6.14;4;3;12.17;76;12.17
29.8;5.14;4;2;12.18;77;12.18
29.1;6.12;4;2.5;12.506;78;12.506
29.6;6.14;5;2.5;12.832;79;12.832
29.9;6.64;4;2.5;13.158;80;13.158
30.4;6.11;4;2;13.484;81;13.484
29.7;6.32;4;2.5;13.81;82;13.81
29.2;7.14;4;2;14.31;83;14.31
29.7;6.29;4;2.5;14.81;84;14.81
29;6.2;4;4;15.31;85;15.31
29.6;5.5;5;4;15.81;86;15.81
29.1;4.47;4;4;16.33160622;87;16.33160622
29;5.18;3.5;1.5;16.77528497;88;16.77528497
29.5;5.29;4;1.5;17.21896373;89;17.21896373
28.5;6.91;3;1.5;17.66264249;90;17.66264249
30.9;7.97;3;1.5;18.10632124;91;18.10632124
29;6.7;2;1.5;18.55;92;18.55
29.5;6.32;2;2.5;18.87;93;18.87
29.5;5.48;3;2.5;19.19;94;19.19
29.9;5.85;3;2.5;19.51;95;19.51
29.6;7.03;3;2.5;19.83;96;19.83
29.9;7.1;3;2.5;20.17;97;20.17
29.8;6.81;2;2.5;20.71;98;20.71
30.3;5.02;2;3;21.25;99;21.25
29.8;5.59;3;4;21.79;100;21.79
29.8;6.13;3;4.5;22.33;101;22.33
29.8;5.72;4;5;22.86;102;22.86
28.9;5.94;3;6;22.91654485;103;22.91654485
29.4;6.08;3;7;22.9730897;104;22.9730897
29.8;6.05;3;6;23.02963455;105;23.02963455
29.8;6.38;3;8;23.0861794;106;23.0861794
29.6;5.97;2.5;6.5;23.14272425;107;23.14272425
28.7;7.35;;;0.012166667;1;0.012166667
28.9;6.95;0.3;0.02;0.023333333;2;0.023333333
27.2;8.52;;;0.0345;3;0.0345
28.3;7.59;0.3;0.02;0.045666667;4;0.045666667
28.5;7.56;;;0.056833333;5;0.056833333
28.6;7.83;0.2;0.03;0.068;6;0.068
28.1;6.76;;;0.079166667;7;0.079166667
27.6;7.12;0.3;0.07;0.090333333;8;0.090333333
28;6.12;;;0.1015;9;0.1015
27.9;6.41;0.7;0.07;0.1715;10;0.1715
28.3;7.13;;;0.2415;11;0.2415
28.6;6.82;0.8;0.05;0.3115;12;0.3115
28.4;7.74;;;0.3815;13;0.3815
28.2;6.93;1.5;0.075;0.4515;14;0.4515
28.3;6.42;1.5;0.08;0.5215;15;0.5215
28;7.02;1.5;0.07;0.5915;16;0.5915
27.9;6.58;;;0.6615;17;0.6615
27.8;5.36;1.5;0.08;0.7315;18;0.7315
28.4;4.72;;;0.831;19;0.831
28.2;5.14;1.8;0.1;0.9188;20;0.9188
28.2;7.52;1.8;0.15;1.0066;21;1.0066
28.3;5.29;1.5;0.15;1.0944;22;1.0944
28.4;6.27;1.7;0.2;1.1822;23;1.1822
28;7.25;1.5;0.17;1.27;24;1.27
27.9;6.47;1.5;0.21;1.334;25;1.334
27.9;5.32;1.7;0.22;1.398;26;1.398
27.6;5.67;2.5;0.25;1.462;27;1.462
27.6;6.78;2.3;0.25;1.526;28;1.526
27.4;7.01;1.9;0.27;1.59;29;1.59
27.3;6.58;2.3;0.28;1.794;30;1.794
27.2;6.47;2.3;0.3;1.998;31;1.998
27.4;6.71;2.3;0.35;2.202;32;2.202
27.4;6.91;1.8;0.3;2.406;33;2.406
27.7;6.32;2.3;0.35;2.61;34;2.61
27.4;6.47;2.3;0.45;2.902;35;2.902
27.3;6.09;2.8;0.5;3.194;36;3.194
27.8;5.75;3;0.5;3.486;37;3.486
27.6;6.04;2.5;0.75;3.778;38;3.778
27.1;6.22;3;0.85;4.07;39;4.07
27.2;5.73;3;0.85;4.27;40;4.27
27.3;4.99;3;0.9;4.47;41;4.47
26.5;6.01;4;0.9;4.67;42;4.67
27;5.29;5;1;4.87;43;4.87
26.9;5.16;4;1;5.07;44;5.07
